nome,link,pdf_link
ADI 4372,https://jurisprudencia.stf.jus.br/pages/search/sjur278077/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=6812407
ADI 5723,https://jurisprudencia.stf.jus.br/pages/search/sjur398263/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749149214
ADI 4430,https://jurisprudencia.stf.jus.br/pages/search/sjur242230/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=4543766
ADI 4391,https://jurisprudencia.stf.jus.br/pages/search/sjur193875/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=4391&classe=ADI
ADI 4375,https://jurisprudencia.stf.jus.br/pages/search/sjur193874/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=4375&classe=ADI
ADI 4270,https://jurisprudencia.stf.jus.br/pages/search/sjur215256/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=2822197
ADI 2319,https://jurisprudencia.stf.jus.br/pages/search/sjur410726/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833018
ADI 5283,https://jurisprudencia.stf.jus.br/pages/search/sjur368512/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=12977066
ADI 5253,https://jurisprudencia.stf.jus.br/pages/search/sjur370634/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=13265386
ADI 3111,https://jurisprudencia.stf.jus.br/pages/search/sjur371357/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=13308178
ADI 4555,https://jurisprudencia.stf.jus.br/pages/search/sjur409242/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750675488
ADI 5300,https://jurisprudencia.stf.jus.br/pages/search/sjur387442/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=747632156
ADI 2616,https://jurisprudencia.stf.jus.br/pages/search/sjur291539/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7709643
ADI 5585,https://jurisprudencia.stf.jus.br/pages/search/sjur388752/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=747917800
ADI 5470,https://jurisprudencia.stf.jus.br/pages/search/sjur416120/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751512011
ADI 5574,https://jurisprudencia.stf.jus.br/pages/search/sjur413030/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751151467
ADI 4544,https://jurisprudencia.stf.jus.br/pages/search/sjur390490/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748170291
ADI 3145,https://jurisprudencia.stf.jus.br/pages/search/sjur413925/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751246602
ADI 4734,https://jurisprudencia.stf.jus.br/pages/search/sjur241904/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=4531010
ADI 875,https://jurisprudencia.stf.jus.br/pages/search/sjur176126/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=875&classe=ADI
ADI 4511,https://jurisprudencia.stf.jus.br/pages/search/sjur345880/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=10755607
ADI 5117,https://jurisprudencia.stf.jus.br/pages/search/sjur418761/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751972000
ADI 5778,https://jurisprudencia.stf.jus.br/pages/search/sjur410741/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833033
ADI 4400,https://jurisprudencia.stf.jus.br/pages/search/sjur243571/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=4614236
ADI 3196,https://jurisprudencia.stf.jus.br/pages/search/sjur87099/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3196&classe=ADI
ADI 5747,https://jurisprudencia.stf.jus.br/pages/search/sjur423458/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=752620310
ADI 3609,https://jurisprudencia.stf.jus.br/pages/search/sjur282444/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7026115
ADI 4648,https://jurisprudencia.stf.jus.br/pages/search/sjur410734/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833026
ADI 3121,https://jurisprudencia.stf.jus.br/pages/search/sjur191073/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3121&classe=ADI
ADI 3165,https://jurisprudencia.stf.jus.br/pages/search/sjur347765/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=10923825
ADI 3708,https://jurisprudencia.stf.jus.br/pages/search/sjur229897/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=3763847
ADI 5830,https://jurisprudencia.stf.jus.br/pages/search/sjur415853/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751490344
ADI 3655,https://jurisprudencia.stf.jus.br/pages/search/sjur345458/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=10737133
ADI 3785,https://jurisprudencia.stf.jus.br/pages/search/sjur395924/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748786683
