nome,link,pdf_link
ADI 4372,https://jurisprudencia.stf.jus.br/pages/search/sjur278077/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=6812407
ADI 5723,https://jurisprudencia.stf.jus.br/pages/search/sjur398263/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749149214
ADI 4430,https://jurisprudencia.stf.jus.br/pages/search/sjur242230/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=4543766
ADI 4389 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur393811/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748569821
ADI 4391,https://jurisprudencia.stf.jus.br/pages/search/sjur193875/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=4391&classe=ADI
ADI 4375,https://jurisprudencia.stf.jus.br/pages/search/sjur193874/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=4375&classe=ADI
ADI 4270,https://jurisprudencia.stf.jus.br/pages/search/sjur215256/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=2822197
ADI 2319,https://jurisprudencia.stf.jus.br/pages/search/sjur410726/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833018
ADI 5283,https://jurisprudencia.stf.jus.br/pages/search/sjur368512/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=12977066
ADI 4425 QO,https://jurisprudencia.stf.jus.br/pages/search/sjur313771/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=9016259
ADI 5253,https://jurisprudencia.stf.jus.br/pages/search/sjur370634/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=13265386
ADI 3111,https://jurisprudencia.stf.jus.br/pages/search/sjur371357/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=13308178
ADI 4555,https://jurisprudencia.stf.jus.br/pages/search/sjur409242/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750675488
ADI 5300,https://jurisprudencia.stf.jus.br/pages/search/sjur387442/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=747632156
ADI 3871 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur401215/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749507240
ADI 2616,https://jurisprudencia.stf.jus.br/pages/search/sjur291539/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7709643
ADI 5585,https://jurisprudencia.stf.jus.br/pages/search/sjur388752/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=747917800
ADI 3106 ED,https://jurisprudencia.stf.jus.br/pages/search/sjur315082/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=9116198
ADI 5470,https://jurisprudencia.stf.jus.br/pages/search/sjur416120/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751512011
ADI 3950 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur244446/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=4657169
ADI 5574,https://jurisprudencia.stf.jus.br/pages/search/sjur413030/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751151467
ADI 4544,https://jurisprudencia.stf.jus.br/pages/search/sjur390490/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748170291
ADI 2542 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur376144/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=13947506
ADI 3145,https://jurisprudencia.stf.jus.br/pages/search/sjur413925/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751246602
ADI 4734,https://jurisprudencia.stf.jus.br/pages/search/sjur241904/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=4531010
ADI 4440 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur306610/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=8590820
ADI 875,https://jurisprudencia.stf.jus.br/pages/search/sjur176126/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=875&classe=ADI
ADI 5571 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur370632/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=13141137
ADI 4511,https://jurisprudencia.stf.jus.br/pages/search/sjur345880/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=10755607
ADI 5117,https://jurisprudencia.stf.jus.br/pages/search/sjur418761/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751972000
ADI 5495 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur404945/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750003047
ADI 5778,https://jurisprudencia.stf.jus.br/pages/search/sjur410741/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833033
ADI 4384 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur398557/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749177816
ADI 4400,https://jurisprudencia.stf.jus.br/pages/search/sjur243571/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=4614236
